0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
5.5173654e-004  3.8729829e-004  4.9479819e-004  5.6351683e-004  4.4423815e-004  4.8547261e-004  4.7516389e-004  4.8988659e-004  5.0314248e-004  4.2951179e-004
1.1034390e-003  7.7458953e-004  9.8958045e-004  1.1269956e-003  8.8846018e-004  9.7093546e-004  9.5031577e-004  9.7974008e-004  1.0062657e-003  8.5900660e-004
1.6550735e-003  1.1618666e-003  1.4843308e-003  1.6903981e-003  1.3326500e-003  1.4563788e-003  1.4254436e-003  1.4695274e-003  1.5093503e-003  1.2884674e-003
2.2066058e-003  1.5491226e-003  1.9790335e-003  2.2536863e-003  1.7767914e-003  1.9417928e-003  1.9005355e-003  1.9592154e-003  2.0123770e-003  1.7178773e-003
2.7580021e-003  1.9363503e-003  2.4736724e-003  2.8168222e-003  2.2208683e-003  2.4271678e-003  2.3755793e-003  2.4487711e-003  2.5153266e-003  2.1472193e-003
3.3092283e-003  2.3235427e-003  2.9682316e-003  3.3797677e-003  2.6648647e-003  2.9124939e-003  2.8505630e-003  2.9381615e-003  3.0181798e-003  2.5764764e-003
3.8602505e-003  2.7106928e-003  3.4626954e-003  3.9424848e-003  3.1087644e-003  3.3977615e-003  3.3254748e-003  3.4273535e-003  3.5209172e-003  3.0056317e-003
4.4110349e-003  3.0977934e-003  3.9570477e-003  4.5049357e-003  3.5525514e-003  3.8829608e-003  3.8003025e-003  3.9163143e-003  4.0235197e-003  3.4346683e-003
4.9615474e-003  3.4848377e-003  4.4512726e-003  5.0670824e-003  3.9962095e-003  4.3680820e-003  4.2750342e-003  4.4050108e-003  4.5259680e-003  3.8635691e-003
5.5117545e-003  3.8718184e-003  4.9453543e-003  5.6288872e-003  4.4397227e-003  4.8531154e-003  4.7496579e-003  4.8934104e-003  5.0282429e-003  4.2923174e-003
6.0616223e-003  4.2587286e-003  5.4392770e-003  6.1903123e-003  4.8830750e-003  5.3380512e-003  5.2241617e-003  5.3814801e-003  5.5303251e-003  4.7208963e-003
6.6111171e-003  4.6455613e-003  5.9330246e-003  6.7513200e-003  5.3262503e-003  5.8228797e-003  5.6985335e-003  5.8691874e-003  6.0321955e-003  5.1492888e-003
7.1602053e-003  5.0323093e-003  6.4265814e-003  7.3118730e-003  5.7692326e-003  6.3075912e-003  6.1727613e-003  6.3564996e-003  6.5338348e-003  5.5774781e-003
7.7088535e-003  5.4189658e-003  6.9199316e-003  7.8719336e-003  6.2120060e-003  6.7921760e-003  6.6468334e-003  6.8433841e-003  7.0352239e-003  6.0054476e-003
8.2570281e-003  5.8055235e-003  7.4130593e-003  8.4314646e-003  6.6545544e-003  7.2766243e-003  7.1207376e-003  7.3298085e-003  7.5363437e-003  6.4331803e-003
8.8046958e-003  6.1919757e-003  7.9059487e-003  8.9904287e-003  7.0968620e-003  7.7609264e-003  7.5944620e-003  7.8157405e-003  8.0371749e-003  6.8606595e-003
